qid,role,intent,grade,systems,question
ME-041,Mechanical and electrical engineers,capability,document-quoted,access_control|bms_plant|it_network|sensor_telemetry,Which BMS points are physically verified against the assets and sensors they claim to represent?
ME-042,Mechanical and electrical engineers,capability,document-quoted,access_control|asset_register|bms_plant|contract_warranty|project_handover|sensor_telemetry|user_reports,Is the implemented BMS sequence behaving like the current approved control intent across relevant operating modes?
ME-043,Mechanical and electrical engineers,capability,document-quoted,access_control|bms_plant|project_handover|sensor_telemetry,"Which BMS overrides, manual modes or forced values are active, how long have they persisted, and what functions do they affect?"
ME-044,Mechanical and electrical engineers,capability,honest-capability-answer,access_control|bms_plant|sensor_telemetry|user_reports,"Are conflicting schedules, calendars or optimum-start rules causing plant to run outside approved service windows?"
ME-045,Mechanical and electrical engineers,capability,document-quoted,bms_plant|sensor_telemetry|statutory_compliance,"Which BMS sensors show credible evidence of bias, drift, sticking or implausible dynamics that warrants calibration testing?"
ME-046,Mechanical and electrical engineers,capability,answered-with-data,bms_plant|it_network|meter_energy|sensor_telemetry,"Are meter identities, units, CT ratios, pulse multipliers and scaling configured consistently enough for engineering use?"
ME-047,Mechanical and electrical engineers,capability,document-quoted,bms_plant|it_network|meter_energy|sensor_telemetry,How healthy and complete is the read-only integration path from BMS and meters for this engineering decision?
ME-048,Mechanical and electrical engineers,capability,document-quoted,bms_plant|it_network|project_handover|sensor_telemetry|user_reports,"Where do command and feedback states persistently disagree for valves, dampers, fans, pumps or electrical indications?"
ME-049,Mechanical and electrical engineers,capability,document-quoted,bms_plant|it_network|meter_energy|sensor_telemetry,"Are timestamps across BMS, meters and portable instruments aligned closely enough for event diagnosis?"
ME-050,Mechanical and electrical engineers,capability,document-quoted,bms_plant|cmms_work|meter_energy|sensor_telemetry,"Can BMS, meter, asset and maintenance data be joined without creating false physical relationships?"
ME-051,Mechanical and electrical engineers,diagnosis,honest-capability-answer,asset_register|bms_plant|it_network|sensor_telemetry|user_reports,"For this recurring fault, what repeatable evidence signature exists without deliberately provoking unsafe or disruptive operation?"
ME-052,Mechanical and electrical engineers,capability,document-quoted,bms_plant|sensor_telemetry|user_reports,"During a competent-person functional test, did observable plant behaviour follow the approved test script and control intent?"
ME-053,Mechanical and electrical engineers,capability,answered-with-data,bms_plant|sensor_telemetry|statutory_compliance,Which sensors should be calibrated or replaced first because their uncertainty most affects current engineering decisions?
ME-054,Mechanical and electrical engineers,sensor_data,answered-with-data,access_control|asset_register|bms_plant|it_network|sensor_telemetry|user_reports,"What is the most defensible event timeline for this intermittent M&E fault across power, controls and plant states?"
ME-055,Mechanical and electrical engineers,capability,answered-with-data,asset_register|bms_plant|it_network|sensor_telemetry,Which points and sampling rates should be trended so this commissioning or diagnostic test can observe the expected behaviour?
ME-056,Mechanical and electrical engineers,capability,honest-capability-answer,sensor_telemetry|weather_external,"How long, and under which operating conditions, must this variable be measured before the engineering conclusion is credible?"
ME-057,Mechanical and electrical engineers,capability,honest-capability-answer,bms_plant|contract_warranty|sensor_telemetry|user_reports,"After remedial work, is evidence sufficient for technical acceptance consideration, or is targeted retesting still needed?"
ME-058,Mechanical and electrical engineers,metadata,answered-with-data,bms_plant|finance_cost|meter_energy|sensor_telemetry,"Did a recent plant or controls intervention improve performance after accounting for weather, load and operating-condition differences?"
